zip;longitude;latitude
11101;14.558633;50.058568
25074;14.609601;50.141411
25250;14.502702;49.987348
25303;14.219206;50.060002
25705;14.727934;49.661292
26205;14.310565;49.818007
26212;14.147189;49.741423
26285;13.954405;49.524008
27042;13.774729;49.957319
27053;13.764965;50.172027
27055;13.788834;50.234838
27736;14.667117;50.457741
27737;14.662335;50.388164
28104;15.045381;50.050079
28107;15.041027;50.006487
28162;14.909683;49.969631
28171;14.807590;50.074113
28404;15.269473;49.977379
28511;15.150245;49.879606
28532;15.294365;49.988612
28543;15.307463;49.843094
28562;15.464293;49.863960
28564;15.405223;49.813154
28926;14.799153;50.227706
29414;14.947349;50.551973
29448;15.099298;50.397198
31600;13.375702;49.743206
33144;13.534611;49.981789
33207;13.459222;49.614170
33453;13.248729;49.540530
33455;13.386169;49.531198
33543;13.730784;49.522016
33546;13.670619;49.434885
33547;13.619275;49.433439
33554;13.489698;49.481900
33555;13.508109;49.440100
33806;13.780182;49.779903
33841;13.539060;49.755419
35137;12.382575;50.252645
36222;12.742911;50.323452
36262;12.842557;50.421930
36273;13.014172;50.305243
37305;14.381182;49.182210
37321;14.614901;48.799037
37324;14.478690;48.854486
37331;14.718102;48.837839
37336;14.668598;48.756709
37343;14.448720;49.129827
37347;14.284020;49.075092
37808;14.895968;48.841427
37809;14.936761;48.813604
37817;14.823840;49.079205
37831;15.045156;49.098478
37832;15.075196;49.064874
37843;14.998441;49.259228
37846;14.909893;49.129282
37855;15.185918;49.213770
37861;15.130333;49.106977
37871;15.468606;49.003247
38208;14.169480;48.874822
38216;14.204577;48.730178
38218;14.346486;48.660368
38293;14.399686;48.608729
38402;14.156307;48.995132
38404;14.056551;48.953181
38441;13.962041;48.938352
38462;13.927689;48.774451
38492;13.646146;48.972982
38735;13.862392;49.353041
38737;13.858512;49.335040
38751;14.011947;49.270085
38756;13.978871;49.158016
38772;14.191115;49.113047
38775;14.099526;49.178329
39120;14.826263;49.366069
39132;14.489432;49.454851
39142;14.770127;49.458140
39153;14.913202;49.466635
39409;15.256008;49.476612
39411;14.957221;49.456292
39415;15.114402;49.420740
39424;15.042089;49.582705
39427;15.040840;49.555573
39445;15.163774;49.535253
39452;15.394053;49.587696
39459;15.255590;49.585593
39491;15.015782;49.308431
39816;14.308368;49.255244
39819;14.247392;49.314987
39822;14.101289;49.242066
39832;14.128283;49.385887
39834;14.246380;49.433392
39842;14.355857;49.387065
39847;14.339004;49.326176
39848;14.291537;49.386790
40302;14.065638;50.591973
40321;14.079339;50.619868
40322;14.190996;50.648774
40703;14.189374;50.705264
40714;14.278898;50.838715
40715;14.351578;50.820669
40716;14.393613;50.875830
40741;14.293480;50.774291
40756;14.578794;50.858195
41162;14.427195;50.528456
41174;14.386769;50.503063
41754;13.874198;50.554667
41765;13.844659;50.584895
41781;13.677304;50.700217
43132;13.305909;50.577317
43145;13.399919;50.399502
43154;13.323155;50.300803
43157;13.433768;50.331732
43184;13.114144;50.419755
43547;13.386921;50.622802
43603;13.593149;50.595681
43908;13.941065;50.377416
43914;13.847498;50.311144
43915;13.822872;50.268220
43922;13.862313;50.397890
43924;13.787142;50.408779
43931;13.536470;50.269473
43963;13.623250;50.291722
43971;13.314175;50.223313
43972;13.363076;50.248818
43986;13.488906;50.173562
46826;15.237416;50.701082
46847;15.355534;50.699066
46850;15.333610;50.816764
47103;14.388443;50.629004
47105;14.407065;50.677700
47108;14.428761;50.688437
47116;14.537623;50.790334
47128;14.856902;50.700123
47152;14.591895;50.741010
47155;14.687021;50.770294
47156;14.668980;50.804917
47157;14.656909;50.836421
50323;15.623476;50.203754
50324;15.608008;50.165795
50344;15.963796;50.290258
50357;15.454417;50.256783
50364;15.523231;50.214966
50365;15.562753;50.178765
50704;15.459759;50.375781
50705;15.489404;50.402900
50706;15.479562;50.435979
50722;15.264735;50.406210
51206;15.373899;50.610459
51212;15.347919;50.660246
51232;15.535005;50.578094
51235;15.603352;50.534540
51252;15.311805;50.548704
51265;15.104100;50.548147
51271;15.410143;50.522942
51712;16.348972;50.203721
51723;16.069156;50.119354
51735;16.172418;50.178772
51745;16.256892;50.076337
51755;16.368457;50.118017
51756;16.400511;50.136276
51783;16.326716;50.371209
51792;16.266103;50.301574
53362;15.601887;49.966493
53363;15.554838;49.955411
53373;16.021209;49.996651
53805;15.630568;49.871340
53823;15.780626;49.874319
53824;15.811889;49.887766
53833;15.912826;49.937082
53865;16.081626;49.902432
53952;15.818220;49.790041
53953;15.748236;49.804341
53956;15.940230;49.853520
53957;15.885034;49.820115
53961;15.937875;49.702223
54203;15.974741;50.674145
54211;16.039969;50.590846
54227;15.792769;50.729735
54235;16.027758;50.537330
54302;15.597138;50.654812
54342;15.668407;50.669939
54375;15.733221;50.512809
54376;15.764169;50.509809
