zip;district;region
10000;Hlavní město Praha;Hlavní město Praha
10100;Hlavní město Praha;Hlavní město Praha
10200;Hlavní město Praha;Hlavní město Praha
10300;Hlavní město Praha;Hlavní město Praha
10400;Hlavní město Praha;Hlavní město Praha
10600;Hlavní město Praha;Hlavní město Praha
10700;Hlavní město Praha;Hlavní město Praha
10800;Hlavní město Praha;Hlavní město Praha
10900;Hlavní město Praha;Hlavní město Praha
11000;Hlavní město Praha;Hlavní město Praha
11101;Hlavní město Praha;Hlavní město Praha
11800;Hlavní město Praha;Hlavní město Praha
11900;Hlavní město Praha;Hlavní město Praha
12000;Hlavní město Praha;Hlavní město Praha
12800;Hlavní město Praha;Hlavní město Praha
13000;Hlavní město Praha;Hlavní město Praha
14000;Hlavní město Praha;Hlavní město Praha
14100;Hlavní město Praha;Hlavní město Praha
14200;Hlavní město Praha;Hlavní město Praha
14300;Hlavní město Praha;Hlavní město Praha
14700;Hlavní město Praha;Hlavní město Praha
14800;Hlavní město Praha;Hlavní město Praha
14900;Praha-západ;Středočeský
15000;Hlavní město Praha;Hlavní město Praha
15200;Hlavní město Praha;Hlavní město Praha
15300;Hlavní město Praha;Hlavní město Praha
15400;Hlavní město Praha;Hlavní město Praha
15500;Hlavní město Praha;Hlavní město Praha
15521;Hlavní město Praha;Hlavní město Praha
15531;Hlavní město Praha;Hlavní město Praha
15600;Hlavní město Praha;Hlavní město Praha
15800;Hlavní město Praha;Hlavní město Praha
15900;Hlavní město Praha;Hlavní město Praha
16000;Hlavní město Praha;Hlavní město Praha
16100;Hlavní město Praha;Hlavní město Praha
16200;Hlavní město Praha;Hlavní město Praha
16300;Hlavní město Praha;Hlavní město Praha
16400;Hlavní město Praha;Hlavní město Praha
16500;Hlavní město Praha;Hlavní město Praha
16900;Hlavní město Praha;Hlavní město Praha
17000;Hlavní město Praha;Hlavní město Praha
17100;Hlavní město Praha;Hlavní město Praha
18000;Hlavní město Praha;Hlavní město Praha
18100;Hlavní město Praha;Hlavní město Praha
18200;Hlavní město Praha;Hlavní město Praha
18400;Hlavní město Praha;Hlavní město Praha
18600;Hlavní město Praha;Hlavní město Praha
19000;Hlavní město Praha;Hlavní město Praha
19011;Hlavní město Praha;Hlavní město Praha
19012;Hlavní město Praha;Hlavní město Praha
19014;Hlavní město Praha;Hlavní město Praha
19015;Hlavní město Praha;Hlavní město Praha
19016;Hlavní město Praha;Hlavní město Praha
19017;Hlavní město Praha;Hlavní město Praha
19300;Hlavní město Praha;Hlavní město Praha
19600;Hlavní město Praha;Hlavní město Praha
19700;Hlavní město Praha;Hlavní město Praha
19800;Hlavní město Praha;Hlavní město Praha
19900;Hlavní město Praha;Hlavní město Praha
25001;Praha-východ;Středočeský
25063;Praha-východ;Středočeský
25064;Praha-východ;Středočeský
25065;Praha-východ;Středočeský
25066;Praha-východ;Středočeský
25067;Praha-východ;Středočeský
25068;Praha-východ;Středočeský
25069;Praha-východ;Středočeský
25070;Praha-východ;Středočeský
25072;Mělník;Středočeský
25073;Praha-východ;Středočeský
25074;Praha-východ;Středočeský
25075;Praha-východ;Středočeský
25081;Praha-východ;Středočeský
25082;Kolín;Středočeský
25083;Praha-východ;Středočeský
25084;Praha-východ;Středočeský
25087;Praha-východ;Středočeský
25088;Praha-východ;Středočeský
25089;Praha-východ;Středočeský
25090;Praha-východ;Středočeský
25091;Praha-východ;Středočeský
25092;Praha-východ;Středočeský
25101;Praha-východ;Středočeský
25162;Praha-východ;Středočeský
25163;Praha-východ;Středočeský
25164;Praha-východ;Středočeský
25165;Praha-východ;Středočeský
25166;Praha-východ;Středočeský
25167;Praha-východ;Středočeský
25168;Benešov;Středočeský
25169;Praha-východ;Středočeský
25202;Praha-západ;Středočeský
25203;Praha-západ;Středočeský
25204;Praha-západ;Středočeský
25205;Praha-západ;Středočeský
25206;Praha-západ;Středočeský
25207;Praha-západ;Středočeský
25208;Benešov;Středočeský
25209;Praha-západ;Středočeský
25210;Praha-západ;Středočeský
